"x","y","MPA_1","MPA_2","MPA_3","MPA_4","MPA_5","MPA_6","MPA_7","MPA_8","MPA_9","MPA_10"
-88.325,17.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.255,17.175,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
-88.185,17.175,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-88.115,17.175,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-88.045,17.175,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-87.975,17.175,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE
-87.905,17.175,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE
-87.835,17.175,TRUE,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.765,17.175,TRUE,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.695,17.175,TRUE,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.625,17.175,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.555,17.175,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.485,17.175,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.415,17.175,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-88.465,17.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.255,17.105,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
-88.185,17.105,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-88.115,17.105,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-88.045,17.105,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA
-87.975,17.105,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE
-87.905,17.105,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE
-87.835,17.105,TRUE,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.765,17.105,TRUE,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.695,17.105,TRUE,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE
-87.625,17.105,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.555,17.105,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.485,17.105,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.415,17.105,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-88.465,17.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.255,17.035,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
-88.185,17.035,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
-88.115,17.035,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
-88.045,17.035,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
-87.975,17.035,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.905,17.035,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.835,17.035,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.765,17.035,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.695,17.035,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.625,17.035,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
-87.555,17.035,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
